dataset_id,specimen_id,comparison,first_method,second_method,nominal_checkpoint,first_action_count,second_action_count,exact_action_jaccard,normalized_symmetric_cell_distance,first_mean_radial_position,second_mean_radial_position,first_minus_second_level2_fraction
74t7kcdgkr,c8-2,oracle,reconstruction_oracle,mechanical_oracle,0.03125,0,0,,,,,
74t7kcdgkr,c8-2,oracle,reconstruction_oracle,mechanical_oracle,0.0625,6,6,0.2,0.18490991955483027,0.6419407810695065,0.2134895987142737,0
74t7kcdgkr,c8-2,oracle,reconstruction_oracle,mechanical_oracle,0.09375,9,12,0.10526315789473684,0.18614933968433325,0.6797783301840701,0.4189128354528412,0.16666666666666666
74t7kcdgkr,c8-2,oracle,reconstruction_oracle,mechanical_oracle,0.125,14,19,0.17857142857142858,0.13100623381875529,0.5839167911941385,0.483760707534223,0.1992481203007519
74t7kcdgkr,c8-2,oracle,reconstruction_oracle,mechanical_oracle,0.1875,27,27,0.2,0.07380874718750528,0.6073630678044627,0.5136418296065329,0
74t7kcdgkr,c8-2,oracle,reconstruction_oracle,mechanical_oracle,0.25,35,38,0.21666666666666667,0.07385969190689422,0.6393809184509481,0.5521915612706462,0.05112781954887219
74t7kcdgkr,c8-20,learned,global_reconstruction_mask,global_mechanical_mask,0.03125,0,0,,,,,
74t7kcdgkr,c8-20,learned,global_reconstruction_mask,global_mechanical_mask,0.0625,8,9,0.13333333333333333,0.17120043214887937,0.6458129475106507,0.32439461640604794,0
74t7kcdgkr,c8-20,learned,global_reconstruction_mask,global_mechanical_mask,0.09375,17,18,0.16666666666666666,0.11163531863546391,0.7099709625428269,0.43487218121315224,0
74t7kcdgkr,c8-20,learned,global_reconstruction_mask,global_mechanical_mask,0.125,26,27,0.23255813953488372,0.07539817751331977,0.701420149422866,0.49268673711405325,0
74t7kcdgkr,c8-20,learned,global_reconstruction_mask,global_mechanical_mask,0.1875,44,45,0.48333333333333334,0.03517677674084592,0.6773947835558639,0.5789629773128685,0
74t7kcdgkr,c8-20,learned,global_reconstruction_mask,global_mechanical_mask,0.25,63,63,0.96875,0.0016034167373844615,0.6152791657652963,0.6087555957553591,0
74t7kcdgkr,c8-20,oracle,reconstruction_oracle,mechanical_oracle,0.03125,0,0,,,,,
74t7kcdgkr,c8-20,oracle,reconstruction_oracle,mechanical_oracle,0.0625,8,6,0,0.2670389967553828,0.8381402620511688,0.3940276132227883,-0.16666666666666666
74t7kcdgkr,c8-20,oracle,reconstruction_oracle,mechanical_oracle,0.09375,12,15,0.08,0.14330679579172667,0.771694531502338,0.5651953442796754,0.09999999999999999
74t7kcdgkr,c8-20,oracle,reconstruction_oracle,mechanical_oracle,0.125,17,22,0.08333333333333333,0.1292509390543704,0.6824327443457351,0.6179446383216132,0.1443850267379679
74t7kcdgkr,c8-20,oracle,reconstruction_oracle,mechanical_oracle,0.1875,25,32,0.14,0.09579154129387639,0.7099709625428269,0.634031424492899,0.16375
74t7kcdgkr,c8-20,oracle,reconstruction_oracle,mechanical_oracle,0.25,33,38,0.22413793103448276,0.09374156577220233,0.6802368365669971,0.6388627756953694,0.10047846889952156
74t7kcdgkr,c8-21,learned,global_reconstruction_mask,global_mechanical_mask,0.03125,0,0,,,,,
74t7kcdgkr,c8-21,learned,global_reconstruction_mask,global_mechanical_mask,0.0625,8,9,0.13333333333333333,0.17120043214887937,0.6458129475106507,0.32439461640604794,0
74t7kcdgkr,c8-21,learned,global_reconstruction_mask,global_mechanical_mask,0.09375,17,18,0.16666666666666666,0.11163531863546391,0.7099709625428269,0.43487218121315224,0
74t7kcdgkr,c8-21,learned,global_reconstruction_mask,global_mechanical_mask,0.125,26,27,0.23255813953488372,0.07539817751331977,0.701420149422866,0.49268673711405325,0
74t7kcdgkr,c8-21,learned,global_reconstruction_mask,global_mechanical_mask,0.1875,44,45,0.48333333333333334,0.03517677674084592,0.6773947835558639,0.5789629773128685,0
74t7kcdgkr,c8-21,learned,global_reconstruction_mask,global_mechanical_mask,0.25,63,63,0.96875,0.0016034167373844615,0.6152791657652963,0.6087555957553591,0
